department,province,district,yearmonth,category
Lambayeque,Chiclayo,Chiclayo,202601,empty_field
Lambayeque,Chiclayo,Chiclayo,202602,empty_field
Lambayeque,Chiclayo,Chiclayo,202603,empty_field
Lambayeque,Chiclayo,Chiclayo,202604,empty_field
Lambayeque,Chiclayo,Chiclayo,202605,empty_field
Lambayeque,Chiclayo,Jose Leonardo Ortiz,202412,empty_field
Lambayeque,Chiclayo,Jose Leonardo Ortiz,202501,empty_field
Lambayeque,Chiclayo,Jose Leonardo Ortiz,202502,empty_field
Lambayeque,Chiclayo,Jose Leonardo Ortiz,202503,empty_field
Lambayeque,Chiclayo,Jose Leonardo Ortiz,202504,empty_field
Lambayeque,Chiclayo,Jose Leonardo Ortiz,202505,empty_field
Lambayeque,Chiclayo,Jose Leonardo Ortiz,202506,empty_field
Lambayeque,Chiclayo,Jose Leonardo Ortiz,202507,empty_field
Lambayeque,Chiclayo,Jose Leonardo Ortiz,202508,empty_field
Lambayeque,Chiclayo,Jose Leonardo Ortiz,202509,empty_field
Lambayeque,Chiclayo,Jose Leonardo Ortiz,202510,empty_field
